,0,1,2,3,4,5,6
0,-7101.859505551856,21034.604534505816,19402.03221078763,3089.778239189897,-5128.9118396132535,1535.7060589969158,73.59729905615694
1,16444.42132296311,1162.566181180286,438.1553358300004,40339.61822358151,4130.770281241629,-14.367966959661077,-244.68450821577315
2,3953.516538773092,-22185.919711404105,2495.4113442891085,-1042.8629925821267,2636.9022166850355,-1.2998530625891291,-205.45804070684363
3,3498.514459060433,20808.916849821282,4776.076882091475,-598.724552277718,2958.650405714583,-20.404885046271108,97.98041973507557
4,-2626.2797210888493,3038.830521556705,1394.003002827766,-1522.4108722071646,2285.364022130088,-16.933530471404147,219.53862593998866
5,-936.4778111515114,31578.263388796506,10691.88207224315,928.7760868681987,3691.8439634974857,-29.142447752178732,-2.0336756561768645
6,-16276.92426131644,6998.719051620113,-2401.1037291725347,-2597.163034996979,1336.989918241284,-23.12844381514018,204.52888268783946
7,-11963.720900165483,-1401.0656203282033,-1854.042475932908,-2424.585233533207,1539.9970486125103,-16.652197397034058,20.21696718589898
8,2587.8549248552927,-23187.573978756114,-7397.26997070405,-3763.5910928468315,1154.6690893822824,-0.08289598425606215,95.22659717565394
9,-15826.937568124968,27366.631324020578,-10509.80537896457,34328.226179861,1503.4335261073313,-36.595474437899895,3.229933936099112
10,12538.923711746123,-23835.76397559667,-10373.421589684847,32713.420048716158,2277.6989517781144,-5.583455293423214,241.19458534658784
11,-5679.236138322668,24690.52226295397,-6972.8244310945065,-3692.843979419478,984.8302900799891,-20.05427716453256,-31.066705152494485
12,14721.972264255817,33210.238292149545,11977.289458360015,1344.0693637427187,4334.157581636655,-24.369038170566693,204.14263792088113
13,-15956.905787217142,33944.663076439145,-10006.835511695683,-4544.949455308153,246.5332246632209,-27.67870723516353,14.89712026938341
14,4024.442082527812,26283.851555392015,5026.70078865961,-528.0321295857473,3012.1505096148835,-20.18135656388734,-155.37289129294058
15,-10208.072993828158,-7052.721561487192,-6740.73594215581,-3678.9168322319742,880.3395280579027,-9.371703217967859,-285.54726801086593
16,-7574.551267672591,-20866.98861762134,21664.575579201883,3660.0527912106845,5081.456826403903,-18.30560632465901,219.46662796673598
17,-6046.195326435917,-14676.612282601332,-5798.9393385516705,-3409.5211155508964,1137.2300078825099,-4.686950625650049,-354.7753970704979
18,39489.35666887118,-30780.31364971329,-166.12194344133695,-1633.8217100583183,3279.6407986439394,16.26684075331321,160.5404098813408
19,-3371.5706683959393,-7421.820958069251,-5262.996085980323,-3244.916616375116,1294.3843406081248,-9.716254586126874,165.0830684875171
20,34100.812846268214,14768.521746682221,20536.824406454038,3686.397325056484,6141.179312354491,-11.080646402548636,170.04931273056087
21,-11080.462108102869,-24725.87846350827,-3258.3925043572667,-2794.5759208441445,1357.4011719531472,-8.854234514889983,210.6693809377842
22,3547.557220317438,18834.431299432694,1252.7301838644087,-1507.9118557569227,2447.925969482506,-15.446070439560993,-268.96219238889194
23,-8408.450076687874,-4307.936784513479,8801.371458943704,343.59040617014654,3191.2687505241015,-18.441217021416513,20.705898062088625
24,-13877.942225005863,-17845.496477061755,-6940.824710586912,-3752.000165468462,742.0653342815622,-6.711289863464387,-266.2607655239208
25,-4812.423847549652,11294.841059958197,4050.162594033018,-845.2900775054816,2609.033724937856,-20.590847015528613,85.46284542664525
